Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title
QIS30177,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-16,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30677,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30217,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-16,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30237,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30247,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-16,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30367,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30387,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30397,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,61,USA: WA,Homo sapiens,,2020-03-16,"envelope protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIS30407,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-16,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30417,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-16,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30427,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30467,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30477,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30517,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30567,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30627,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30647,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30020,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30032,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30044,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS29984,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-10,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS30008,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIS29996,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,2020-01-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
BCB97903,2020-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Japan,Homo sapiens,oronasopharynx,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
BCB97893,2020-03-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Japan,Homo sapiens,"lung, oronasopharynx",2020-02-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68476,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68486,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68496,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68566,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68596,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68606,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68636,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68616,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68646,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-22,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68676,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68526,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68536,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68466,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68576,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68656,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-22,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68546,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68666,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68586,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68626,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68506,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68516,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68556,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-23,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68686,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68696,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"China: Zhejiang, Hangzhou",Homo sapiens,"lung, oronasopharynx",2020-01-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49784,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49844,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49874,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50054,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50064,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50074,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50154,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50144,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50104,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49804,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49764,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49884,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49894,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50034,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50044,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50094,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49924,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49984,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49934,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49904,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49834,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49964,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50024,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49854,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50014,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50174,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50114,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50124,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-15,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50134,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50164,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50084,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49864,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49774,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49794,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49814,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49824,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49944,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49994,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-12,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50004,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49974,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49954,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-14,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ49914,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-13,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50184,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,oronasopharynx,2020-01-19,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ50194,2020-03-26T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,oronasopharynx,2020-01-19,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ22762,2020-03-25T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Pakistan: Gilgit,Homo sapiens,oronasopharynx,2020-03-04,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ08822,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,,2020-03-02,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ08812,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,oronasopharynx,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ08792,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ08802,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,,2020-02-26,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ08832,2020-03-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,,2020-03-04,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIO04369,2020-03-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,China,Homo sapiens,oronasopharynx,2020-01-20,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47478,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,oronasopharynx,2020-03-08,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47459,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,oronasopharynx,2020-03-04,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47469,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Spain: Valencia,Homo sapiens,lung,2020-03-05,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK50440,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Viet Nam: Ho Chi Minh city,Homo sapiens,,2020-01-22,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK50450,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Viet Nam: Ho Chi Minh city,Homo sapiens,,2020-01-22,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK50429,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,"USA: CA, San Diego County",Homo sapiens,,2020-03-11,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK50419,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,Taiwan,Homo sapiens,"lung, oronasopharynx",2020-01-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK02956,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: MN,Homo sapiens,,2020-03-07,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK02966,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: MN,Homo sapiens,,2020-03-05,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK02946,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: MN,Homo sapiens,,2020-03-09,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96505,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96525,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96495,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-18,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96465,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-18,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96515,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96475,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIJ96485,2020-03-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87796,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-02-28,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87808,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-02-29,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87832,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87842,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87820,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-03-01,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII87784,2020-03-10T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA: WA,Homo sapiens,,2020-02-27,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57180,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57320,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57210,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-20,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57200,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57330,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57190,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57230,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-20,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57250,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-18,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57300,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-18,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57240,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-25,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57310,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-18,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57290,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57170,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57220,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-17,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57280,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57270,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-24,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QII57340,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,75,USA,Homo sapiens,oronasopharynx,2020-02-21,envelope protein [Severe acute respiratory syndrome coronavirus 2]
