Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date,GenBank_Title,Protein_Type
QIU81456,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81492,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81672,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81420,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81468,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81516,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81576,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81444,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81696,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81732,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81396,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81756,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81552,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81684,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80928,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80940,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81000,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81744,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80988,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81012,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81180,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81192,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81108,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81132,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81636,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81648,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81084,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81036,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81048,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81060,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81204,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81096,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81720,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81024,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81312,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81072,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81120,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81144,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80952,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80964,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80976,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81228,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78722,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-10,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78758,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-09,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78734,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-09,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78746,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-10,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81660,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81708,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU80903,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Iran,Homo sapiens,oronasopharynx,2020-03-09,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78850,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-02-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81408,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78870,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-06,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81324,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81216,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81540,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81156,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81372,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81432,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81480,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81336,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81588,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81612,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81168,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81300,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81276,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81528,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81240,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81384,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81288,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81348,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81264,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81360,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81252,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81600,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81624,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78805,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-08,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78839,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-02-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78782,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-10,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78770,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,oronasopharynx,2020-03-02,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78827,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-09,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81901,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA,Homo sapiens,,2020-03-10,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU78710,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Spain,Homo sapiens,,2020-03-09,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81804,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Wuhan,Homo sapiens,lung,2019-12-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81768,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Wuhan,Homo sapiens,lung,2019-12-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81888,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81792,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Wuhan,Homo sapiens,lung,2019-12-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81828,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81840,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-25,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81852,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81864,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81876,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Beijing,Homo sapiens,oronasopharynx,2020-01-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81780,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Wuhan,Homo sapiens,lung,2019-12-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIU81816,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,China: Wuhan,Homo sapiens,lung,2019-12-30,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06882,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: RI,Homo sapiens,oronasopharynx,2020-02-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06894,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: CA,Homo sapiens,oronasopharynx,2020-02-26,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06906,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,oronasopharynx,2020-02-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06918,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06930,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: GA,Homo sapiens,oronasopharynx,2020-02-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06966,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06978,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: TX,Homo sapiens,oronasopharynx,2020-02-29,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06990,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Israel,Homo sapiens,,2020-02,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06942,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: OR,Homo sapiens,oronasopharynx,2020-02-27,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT06954,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: FL,Homo sapiens,oronasopharynx,2020-02-28,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIT07002,2020-04-03T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,Israel,Homo sapiens,,2020-03,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60525,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60585,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60352,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60442,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60402,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60392,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60621,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60482,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60492,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60513,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60537,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS61401,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60561,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60502,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60462,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60422,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60472,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-13,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60681,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60693,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-22,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60729,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60741,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60837,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60849,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-22,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60873,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-24,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
QIS60765,2020-03-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,222,USA: WA,Homo sapiens,,2020-03-23,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2],membrane glycoprotein
